shapeId,shapeType,shapeLabel,pointId,pointX,pointY,source
0,point,633,0,964,508,
1,point,632,0,964,456,
2,point,642,0,840,315,
3,point,520,0,787,313,
4,point,634,0,636,254,
5,point,513,0,575,202,
6,point,697,0,540,202,
7,point,541,0,504,225,
8,point,607,0,458,238,
9,point,728,0,412,239,
10,point,669,0,341,238,
11,point,524,0,280,237,
12,point,640,0,248,225,
13,point,629,0,232,209,
14,point,681,0,194,204,
15,point,663,0,146,202,
16,point,608,0,120,204,
17,point,700,0,85,205,
18,point,764,0,30,203,
