date, pm25, pm10, o3, no2, so2, co
2022/1/3, 44, 13, 20, 20, 2, 5
2022/1/4, 35, 15, 12, 28, , 11
2022/1/5, 43, 18, 26, 20, , 9
2022/1/6, 51, 12, 26, 16, , 9
2022/1/7, 38, 13, 23, 15, 1, 6
2022/1/8, 38, 15, 21, 16, , 7
2022/1/9, 48, 25, 16, 26, 1, 7
2022/1/10, 66, 16, 16, 15, , 3
2022/1/11, 51, 30, 5, 28, 1, 8
2022/1/12, 70, 28, 5, 28, 2, 10
2022/1/13, 82, 43, 1, 36, 3, 11
2022/1/14, 107, 32, 7, 21, 2, 8
2022/1/15, 87, 24, 11, 20, 2, 8
2022/1/16, 65, 26, 11, 31, 1, 10
2022/1/17, 66, 34, 14, 27, , 11
2022/1/18, 93, 22, 16, 19, , 6
2022/1/19, 49, , , , , 
2021/10/1, 24, 13, 23, 8, 1, 2
2021/10/2, 25, 15, 22, 3, 1, 2
2021/10/3, 26, 15, 23, 7, 1, 
2021/10/4, 32, 11, 24, 10, 1, 
2021/10/5, 24, 14, 13, 17, 1, 
2021/10/6, 34, 17, 11, 10, , 
2021/10/7, 37, 17, 13, 10, , 
2021/10/8, 35, 39, 16, 16, , 
2021/10/9, 97, 24, 11, 14, , 
2021/10/10, 61, 19, 10, 11, , 
2021/10/11, 41, 18, 13, 10, , 
2021/10/12, 48, 17, 10, 7, , 
2021/10/13, 39, 17, 19, 5, , 
2021/10/14, 45, 20, 17, 12, , 
2021/10/15, 50, 25, 12, 20, 1, 
2021/10/16, 63, 20, 21, 11, 1, 
2021/10/17, 55, 20, 14, 12, 1, 
2021/10/18, 57, 25, 17, 4, 1, 
2021/10/19, 68, 16, 23, 6, 1, 
2021/10/20, 44, 14, 18, 17, 1, 
2021/10/21, 39, 14, 15, 17, 1, 
2021/10/22, 31, 13, 22, 10, 1, 
2021/10/23, 32, 18, 25, 6, 1, 
2021/10/24, 33, 19, 20, 11, 1, 
2021/10/25, 28, 17, 24, 7, 1, 
2021/10/26, 36, 15, 25, 5, 1, 
2021/10/27, 30, 19, 22, 8, 2, 
2021/10/28, 41, 17, 26, 8, 3, 
2021/10/29, 42, 15, 24, 8, 3, 4
2021/10/30, 43, 16, 26, 4, 3, 4
2021/10/31, 34, 15, 26, 9, 3, 6
2021/11/1, 35, 19, 9, 21, 3, 8
2021/11/2, 52, 17, 16, 18, 1, 7
2021/11/3, 57, 13, 16, 13, , 6
2021/11/4, 39, 24, 7, 22, , 13
2021/11/5, 67, 18, 23, 7, , 5
2021/11/6, 49, 19, 16, 17, 1, 8
2021/11/7, 41, 23, 12, 16, , 7
2021/11/8, 58, 12, 20, 11, 1, 4
2021/11/9, 37, 11, 19, 14, 1, 3
2021/11/10, 38, 13, 17, 12, 1, 4
2021/11/11, 41, 16, 20, 9, 2, 4
2021/11/12, 47, 11, 13, 16, 2, 5
2021/11/13, 27, 14, 13, 9, 3, 2
2021/11/14, 43, 19, 3, 17, 1, 4
2021/11/15, 58, 21, 10, 20, 1, 9
2021/11/16, 65, 22, 8, 23, 1, 13
2021/11/17, 52, 19, 13, 16, 1, 8
2021/11/18, 48, 16, 14, 19, 1, 5
2021/11/19, 40, 17, 20, 21, 2, 5
2021/11/20, 39, 14, 16, 10, 2, 3
2021/11/21, 30, 18, 16, 15, 1, 3
2021/11/22, 44, 26, 4, 22, 3, 6
2021/11/23, 66, 26, 11, 24, 3, 8
2021/11/24, 70, 18, 10, 19, 3, 5
2021/11/25, 50, 13, 19, 19, 3, 7
2021/11/26, 37, 11, 20, 9, 2, 4
2021/11/27, 23, 14, 19, 12, 2, 6
2021/11/28, 35, 21, 11, 23, 1, 10
2021/11/29, 60, 13, 26, 13, , 10
2021/11/30, 40, 11, 23, 17, , 11
2021/12/1, 32, 16, 14, 22, 1, 14
2021/12/2, 33, 15, 20, 22, 1, 13
2021/12/3, 45, 17, 16, 23, , 14
2021/12/4, 47, 10, 18, 13, , 10
2021/12/5, 35, 18, 14, 21, 3, 10
2021/12/6, 47, 17, 26, 15, 6, 4
2021/12/7, 38, 18, 26, 3, 6, 4
2021/12/8, 36, 22, 22, 11, 4, 5
2021/12/9, 40, 16, 20, 17, 3, 5
2021/12/10, 31, 18, 15, 16, 2, 5
2021/12/11, 49, 14, 22, 5, 2, 1
2021/12/12, 29, 12, 21, 6, 1, 2
2021/12/13, 24, 16, 15, 9, 1, 2
2021/12/14, 43, 14, 18, 12, 1, 3
2021/12/15, 42, 15, 19, 13, , 2
2021/12/16, 41, 18, 17, 9, , 2
2021/12/17, 55, 19, 13, 10, , 2
2021/12/18, 55, 13, 17, 9, 2, 2
2021/12/19, 46, 17, 21, 9, 2, 3
2021/12/20, 33, 21, 21, 13, , 3
2021/12/21, 58, 23, 5, 16, , 7
2021/12/22, 73, 23, 14, 7, , 4
2021/12/23, 69, 17, 17, 9, , 3
2021/12/24, 45, 15, 12, 5, , 3
2021/12/25, 51, 24, 17, 8, 1, 5
2021/12/26, 73, 15, 21, 3, 1, 2
2021/12/27, 43, 9, 27, 12, 1, 5
2021/12/28, 37, 14, 19, 3, 1, 2
2021/12/29, 37, 12, 20, 5, 1, 
2021/12/30, 37, 17, 20, 6, 1, 
2021/12/31, 43, 22, 18, 6, 2, 1
2022/1/1, 59, 10, 27, 5, 2, 1
2022/1/2, 31, 17, 27, 7, 2, 2
2021/7/1, 42, 21, 28, 8, , 
2021/7/2, 53, 13, 23, 5, , 
2021/7/3, 29, 10, 19, 3, , 
2021/7/4, 14, 14, 22, 3, , 
2021/7/5, 20, 13, 18, 4, , 
2021/7/6, 23, 16, 20, 3, , 
2021/7/7, 29, 15, 20, 4, , 8
2021/7/8, 29, 17, 23, 6, , 7
2021/7/9, 37, 12, 16, 10, , 6
2021/7/10, 33, 13, 23, 6, , 6
