date, pm25, pm10, no2
2022/1/3, 22, 13, 17
2022/1/4, 27, 11, 18
2022/1/5, 22, 21, 31
2022/1/6, 49, 13, 25
2022/1/7, 25, 11, 16
2022/1/8, 27, 12, 23
2022/1/9, 25, 27, 41
2022/1/10, 55, 22, 20
2022/1/11, 54, 25, 31
2022/1/12, 56, 39, 28
2022/1/13, 73, 53, 32
2022/1/14, 102, 50, 
2022/1/15, 100, 35, 
2022/1/16, 75, 25, 
2022/1/17, 54, 43, 20
2022/1/18, 83, 31, 13
2022/1/19, 62, 20, 6
2022/1/20, 41, , 
2021/10/1, 21, 14, 26
2021/10/2, 27, 9, 25
2021/10/3, 17, 12, 20
2021/10/4, 21, 11, 24
2021/10/5, 21, 10, 17
2021/10/6, 20, 18, 27
2021/10/7, 38, 18, 20
2021/10/8, 41, 34, 31
2021/10/9, 79, 37, 15
2021/10/10, 89, 15, 14
2021/10/11, 35, 19, 19
2021/10/12, 42, 14, 26
2021/10/13, 33, 19, 26
2021/10/14, 48, 18, 28
2021/10/15, 41, 26, 33
2021/10/16, 56, 24, 27
2021/10/17, 57, 21, 26
2021/10/18, 53, 18, 18
2021/10/19, 44, 23, 24
2021/10/20, 51, 12, 14
2021/10/21, 26, 14, 23
2021/10/22, 31, 13, 30
2021/10/23, 31, 14, 24
2021/10/24, 31, 17, 28
2021/10/25, 34, 15, 30
2021/10/26, 31, 14, 25
2021/10/27, 26, 16, 29
2021/10/28, 34, 19, 29
2021/10/29, 43, 16, 27
2021/10/30, 34, 14, 16
2021/10/31, 29, 13, 28
2021/11/1, 21, 17, 34
2021/11/2, 39, 23, 25
2021/11/3, 57, 11, 10
2021/11/4, 26, 19, 35
2021/11/5, 51, 27, 21
2021/11/6, 68, 13, 14
2021/11/7, 29, 21, 35
2021/11/8, 47, 20, 33
2021/11/9, 43, 13, 33
2021/11/10, 35, 17, 36
2021/11/11, 47, 19, 29
2021/11/12, 46, 11, 10
2021/11/13, 26, 10, 18
2021/11/14, 31, 18, 32
2021/11/15, 49, 23, 39
2021/11/16, 59, 21, 30
2021/11/17, 55, 22, 34
2021/11/18, 46, 15, 26
2021/11/19, 38, 17, 22
2021/11/20, 48, 11, 12
2021/11/21, 31, 10, 21
2021/11/22, 23, 21, 38
2021/11/23, 52, 32, 40
2021/11/24, 80, 27, 19
2021/11/25, 70, 20, 21
2021/11/26, 57, 15, 5
2021/11/27, 49, 13, 8
2021/11/28, 46, 23, 38
2021/11/29, 62, 42, 27
2021/11/30, 99, 53, 10
2021/12/1, 144, 14, 18
2021/12/2, 42, 23, 40
2021/12/3, 62, 30, 21
2021/12/4, 84, 23, 5
2021/12/5, 70, 57, 33
2021/12/6, 150, 54, 34
2021/12/7, 150, 48, 25
2021/12/8, 129, 24, 37
2021/12/9, 31, 16, 11
2021/12/10, 23, 15, 39
2021/12/11, 32, 15, 23
2021/12/12, 36, 14, 27
2021/12/13, 25, 18, 31
2021/12/14, 35, 19, 31
2021/12/15, 39, 18, 25
2021/12/16, 42, 19, 34
2021/12/17, 51, 18, 26
2021/12/18, 50, 14, 24
2021/12/19, 47, 12, 33
2021/12/20, 27, 20, 35
2021/12/21, 43, 28, 42
2021/12/22, 63, 30, 28
2021/12/23, 72, 19, 28
2021/12/24, 49, 12, 9
2021/12/25, 36, 21, 27
2021/12/26, 61, 17, 22
2021/12/27, 49, , 
2021/12/29, 17, 10, 16
2021/12/30, 22, 11, 17
2021/12/31, 25, 17, 12
2022/1/1, 39, 14, 19
2022/1/2, 29, 12, 24
2021/8/1, 28, 10, 20
