date, pm25
2022/1/3, 32
2022/1/4, 34
2022/1/5, 36
2022/1/6, 46
2022/1/7, 31
2022/1/8, 32
2022/1/9, 43
2022/1/10, 66
2022/1/11, 52
2022/1/12, 76
2022/1/13, 73
2022/1/14, 102
2022/1/15, 85
2022/1/16, 63
2022/1/17, 60
2022/1/18, 96
2021/10/1, 27
2021/10/2, 24
2021/10/3, 26
2021/10/4, 32
2021/10/5, 27
2021/10/6, 30
2021/10/7, 44
2021/10/8, 41
2021/10/9, 93
2021/10/10, 66
2021/10/11, 43
2021/10/12, 46
2021/10/13, 40
2021/10/14, 48
2021/10/15, 46
2021/10/16, 58
2021/10/17, 47
2021/10/18, 46
2021/10/19, 49
2021/10/20, 31
2021/10/21, 32
2021/10/22, 33
2021/10/23, 27
2021/10/24, 31
2021/10/25, 39
2021/10/26, 38
2021/10/27, 27
2021/10/28, 37
2021/10/29, 37
2021/10/30, 33
2021/10/31, 23
2021/11/1, 24
2021/11/2, 46
2021/11/3, 53
2021/11/4, 31
2021/11/5, 66
2021/11/6, 44
2021/11/7, 38
2021/11/8, 50
2021/11/9, 38
2021/11/10, 45
2021/11/11, 48
2021/11/12, 44
2021/11/13, 31
2021/11/14, 42
2021/11/15, 57
2021/11/16, 60
2021/11/17, 52
2021/11/18, 49
2021/11/19, 48
2021/11/20, 44
2021/11/21, 25
2021/11/22, 39
2021/11/23, 63
2021/11/24, 72
2021/11/25, 43
2021/11/26, 28
2021/11/27, 30
2021/11/28, 31
2021/11/29, 63
2021/11/30, 36
2021/12/1, 29
2021/12/2, 38
2021/12/3, 42
2021/12/4, 47
2021/12/5, 27
2021/12/6, 46
2021/12/7, 38
2021/12/8, 40
2021/12/9, 36
2021/12/10, 35
2021/12/11, 48
2021/12/12, 33
2021/12/13, 34
2021/12/14, 44
2021/12/15, 41
2021/12/20, 40
2021/12/21, 52
2021/12/22, 68
2021/12/23, 62
2021/12/24, 48
2021/12/25, 50
2021/12/26, 69
2021/12/27, 42
2021/12/28, 31
2021/12/29, 37
2021/12/30, 34
2021/12/31, 43
2022/1/1, 54
2022/1/2, 23
2021/7/1, 52
2021/7/2, 64
2021/7/3, 35
2021/7/4, 23
2021/7/5, 26
2021/7/6, 30
2021/7/7, 35
2021/7/8, 33
2021/7/9, 43
2021/7/10, 38
2021/7/11, 31
2021/7/12, 30
2021/7/13, 26
2021/7/14, 29
2021/7/15, 26
2021/7/16, 33
2021/7/17, 27
2021/7/18, 34
2021/7/19, 44
2021/7/20, 51
2021/7/21, 63
2021/7/22, 64
2021/7/23, 32
2021/7/24, 45
2021/7/25, 49
2021/7/26, 51
2021/7/27, 26
2021/7/28, 22
2021/7/29, 27
2021/7/30, 29
2021/7/31, 21
2021/8/1, 25
2021/8/2, 22
2021/8/3, 28
2021/8/4, 33
2021/8/5, 24
2021/8/6, 22
2021/8/7, 20
2021/8/8, 21
2021/8/9, 25
2021/8/10, 31
2021/8/11, 27
2021/8/12, 20
2021/8/13, 33
2021/8/14, 29
2021/8/15, 20
2021/8/16, 43
2021/8/17, 28
2021/8/18, 21
2021/8/19, 23
2021/8/20, 22
2021/8/21, 24
2021/8/22, 21
2021/8/23, 27
2021/8/24, 29
2021/8/25, 16
2021/8/26, 25
2021/8/27, 29
2021/8/28, 25
2021/8/29, 24
2021/8/30, 19
2021/8/31, 22
2021/9/1, 35
2021/9/2, 38
2021/9/3, 45
2021/9/4, 50
2021/9/5, 54
2021/9/6, 68
2021/9/7, 80
2021/9/8, 84
2021/9/9, 36
2021/9/10, 21
2021/9/11, 31
2021/9/12, 25
2021/9/13, 23
2021/9/14, 41
2021/9/15, 40
2021/9/16, 46
2021/9/17, 32
2021/9/18, 49
2021/9/19, 64
2021/9/20, 38
2021/9/21, 45
2021/9/22, 41
2021/9/23, 24
2021/9/28, 16
2021/9/29, 27
2021/9/30, 28
2021/4/1, 57
2021/4/2, 15
2021/4/3, 31
2021/4/4, 35
2021/4/5, 30
2021/4/6, 21
2021/4/7, 23
2021/4/8, 24
2021/4/9, 22
2021/4/10, 21
2021/4/11, 21
2021/4/12, 29
2021/4/13, 42
2021/4/14, 35
2021/4/15, 20
2021/4/16, 28
2021/4/17, 29
2021/4/18, 24
2021/4/19, 52
2021/4/20, 80
2021/4/21, 84
2021/4/22, 25
2021/4/23, 28
2021/4/24, 36
2021/4/25, 27
2021/4/26, 18
2021/4/27, 42
2021/4/28, 53
2021/4/29, 28
2021/4/30, 36
2021/5/1, 37
2021/5/2, 42
2021/5/3, 25
2021/5/4, 19
2021/5/5, 20
2021/5/6, 24
2021/5/7, 24
2021/5/8, 29
2021/5/9, 24
2021/5/10, 25
2021/5/15, 24
2021/5/16, 25
2021/5/17, 40
2021/5/18, 33
2021/5/19, 29
2021/5/20, 30
2021/5/21, 34
2021/5/22, 26
2021/5/23, 22
2021/5/24, 19
2021/5/25, 25
2021/5/26, 32
