date, pm25, pm10, o3, no2, so2, co
2022/1/3, 38, 8, 14, 15, 1, 5
2022/1/4, 17, 27, 14, 17, 1, 11
2022/1/6, 38, 21, 17, 25, 1, 9
2022/1/11, 59, 40, 4, 27, 2, 8
2022/1/12, 78, 52, , 32, 2, 10
2022/1/13, 91, 52, , 33, 3, 11
2022/1/17, 74, , , , , 
2021/10/1, 30, 6, 10, 21, , 2
2021/10/2, 28, 6, 11, 15, , 2
2021/10/3, 23, 9, 12, 23, , 2
2021/10/4, 29, 8, 12, 20, , 2
2021/10/5, 25, 9, 10, 18, , 3
2021/10/6, 30, 14, 3, 22, 1, 2
2021/10/7, 45, 13, 4, 17, , 2
2021/10/8, 44, 30, 8, 19, , 3
2021/10/9, 93, 19, 10, 14, , 3
2021/10/10, 61, 10, 9, 13, , 3
2021/10/11, 37, 11, 11, 15, , 3
2021/10/12, 41, 7, 5, 20, 1, 4
2021/10/13, 20, 1, 4, 23, 1, 5
2021/10/14, 6, 13, 12, 16, , 3
2021/10/15, 37, 20, 2, 23, , 5
2021/10/16, 60, 15, 5, 20, , 4
2021/10/17, 52, 15, 4, 19, , 3
2021/10/18, 50, 19, 9, 11, , 1
2021/10/19, 52, 11, 18, 17, , 2
2021/10/20, 36, 9, 17, 14, , 4
2021/10/21, 28, 11, 6, 24, 1, 5
2021/10/22, 33, 10, 8, 22, , 5
2021/10/23, 33, 9, 12, 19, , 4
2021/10/24, 31, 12, 9, 22, 1, 5
2021/10/25, 39, 11, 15, 20, 1, 4
2021/10/26, 34, 8, 21, 19, 1, 2
2021/10/27, 30, 12, 9, 22, 1, 3
2021/10/28, 44, 12, 13, 22, 1, 3
2021/10/29, 40, 9, 9, 19, , 4
2021/10/30, 31, 9, 14, 15, , 4
2021/10/31, 28, 11, 19, 21, 1, 6
2021/11/1, 34, 17, 2, 23, 2, 8
2021/11/2, 50, 14, 16, 15, 1, 7
2021/11/3, 46, 8, 17, 10, , 6
2021/11/4, 28, 24, 2, 28, 1, 13
2021/11/5, 76, 17, 10, 23, , 5
2021/11/6, 55, 15, 16, 18, , 8
2021/11/7, 44, 21, 3, 29, 1, 7
2021/11/8, 58, 13, 9, 27, 1, 4
2021/11/9, 41, 14, 10, 27, 1, 3
2021/11/10, 49, 17, 4, 28, 1, 4
2021/11/11, 52, 15, 7, 27, 1, 4
2021/11/12, 45, 8, 15, 14, , 5
2021/11/13, 21, 10, 13, 8, , 2
2021/11/14, 29, 16, 3, 18, , 4
