date, pm25, pm10, o3, no2, so2, co
2022/1/3, 26, 8, 14, 11, 1, 5
2022/1/4, 25, 27, 14, 15, 1, 11
2022/1/5, 28, 13, 9, 18, 2, 9
2022/1/6, 47, 21, 17, 9, 1, 9
2022/1/7, 22, 13, 18, 10, , 6
2022/1/8, 25, 34, 13, 12, 1, 7
2022/1/9, 30, 50, 8, 24, 1, 7
2022/1/10, 54, 12, 9, 13, 1, 3
2022/1/11, 50, 40, 4, 27, 2, 8
2022/1/12, 65, 52, , 28, 2, 10
2022/1/13, 72, 52, , 35, 3, 11
2022/1/14, 93, , 1, 24, 1, 8
2022/1/15, 85, 22, 11, 17, , 8
2022/1/16, 71, 48, 7, 27, 2, 10
2022/1/17, 61, 42, 1, 28, 3, 11
2022/1/18, 82, 29, 10, 17, , 6
2022/1/19, 63, 16, 13, 12, , 5
2022/1/20, 48, , , , , 
2021/10/1, 16, 6, 10, 7, , 2
2021/10/2, 20, 3, 9, 3, , 2
2021/10/3, 17, , , 7, , 
2021/10/4, 21, , , 6, , 
2021/10/5, 19, , , 11, , 
2021/10/6, 22, , , 14, , 
2021/10/7, 26, , , 12, , 
2021/10/8, 36, , , 22, , 
2021/10/9, 97, , , 15, , 
2021/10/10, 85, , , 14, , 
2021/10/11, 35, , , 14, , 
2021/10/12, 38, , , 14, , 
2021/10/13, 25, , , 10, , 
2021/10/14, 41, , , 12, , 
2021/10/15, 35, , , 19, , 
2021/10/16, 45, , , 11, , 
2021/10/17, 47, , , 12, , 
2021/10/18, 44, , , 6, , 
2021/10/19, 49, , , 6, , 
2021/10/20, 48, , , 11, , 
2021/10/21, 36, , , 12, , 
2021/10/22, 32, , , 10, , 
2021/10/23, 17, , , 6, , 
2021/10/25, 26, , , 8, , 
2021/10/26, 20, , , 6, , 
2021/10/27, 17, , , 6, , 
2021/10/28, 26, , , 7, , 
2021/10/29, 31, 9, 9, 9, , 4
2021/10/30, 25, 9, 16, 5, , 4
2021/10/31, 17, 11, 19, 8, 1, 6
2021/11/1, 21, 17, 2, 19, 2, 8
2021/11/2, 38, 14, 16, 18, 1, 7
2021/11/3, 70, 8, 17, 10, , 6
2021/11/4, 31, 24, 2, 19, 1, 13
2021/11/5, 63, 17, 10, 5, , 5
2021/11/6, 63, 15, 16, 9, , 8
2021/11/7, 33, 21, 3, 14, 1, 7
2021/11/8, 50, 13, 9, 13, 1, 4
2021/11/9, 34, 14, 10, 15, 1, 3
2021/11/10, 33, 17, 4, 13, 1, 4
2021/11/11, 41, 15, 7, 7, 1, 4
2021/11/12, 41, 8, 15, 8, , 5
2021/11/13, 25, 10, 13, 8, , 2
2021/11/14, 32, 16, 3, 15, , 4
2021/11/15, 48, 23, 1, 19, 2, 9
2021/11/16, 59, 19, 4, 17, 1, 13
2021/11/17, 51, 17, 1, 12, 2, 8
2021/11/18, 46, 15, 4, 11, 1, 5
2021/11/19, 45, 15, 10, 10, 1, 5
2021/11/20, 49, 8, 17, 7, , 3
2021/11/21, 31, 10, 18, 11, , 3
