,date,pm2.5,pm10,o3,no2
0,2022-01-03,44.0,13.0,20.0,20.0
1,2022-01-04,35.0,15.0,12.0,28.0
2,2022-01-05,43.0,18.0,26.0,20.0
3,2022-01-06,51.0,12.0,26.0,16.0
4,2022-01-07,38.0,13.0,23.0,15.0
5,2022-01-08,38.0,15.0,21.0,16.0
6,2022-01-09,48.0,25.0,16.0,26.0
7,2022-01-10,66.0,16.0,16.0,15.0
8,2022-01-11,51.0,30.0,5.0,28.0
9,2022-01-12,70.0,28.0,5.0,28.0
10,2022-01-13,82.0,43.0,1.0,36.0
11,2022-01-14,107.0,32.0,7.0,21.0
12,2022-01-15,87.0,24.0,11.0,20.0
13,2022-01-16,65.0,26.0,11.0,31.0
14,2022-01-17,66.0,34.0,14.0,27.0
15,2022-01-18,93.0,22.0,16.0,19.0
16,2022-01-19,49.0,15.0,19.0,17.0
17,2021-10-01,24.0,13.0,23.0,8.0
18,2021-10-02,25.0,15.0,22.0,3.0
19,2021-10-03,26.0,15.0,23.0,7.0
20,2021-10-04,32.0,11.0,24.0,10.0
21,2021-10-05,24.0,14.0,13.0,17.0
22,2021-10-06,34.0,17.0,11.0,10.0
23,2021-10-07,37.0,17.0,13.0,10.0
24,2021-10-08,35.0,39.0,16.0,16.0
25,2021-10-09,97.0,24.0,11.0,14.0
26,2021-10-10,61.0,19.0,10.0,11.0
27,2021-10-11,41.0,18.0,13.0,10.0
28,2021-10-12,48.0,17.0,10.0,7.0
29,2021-10-13,39.0,17.0,19.0,5.0
30,2021-10-14,45.0,20.0,17.0,12.0
31,2021-10-15,50.0,25.0,12.0,20.0
32,2021-10-16,63.0,20.0,21.0,11.0
33,2021-10-17,55.0,20.0,14.0,12.0
34,2021-10-18,57.0,25.0,17.0,4.0
35,2021-10-19,68.0,16.0,23.0,6.0
36,2021-10-20,44.0,14.0,18.0,17.0
37,2021-10-21,39.0,14.0,15.0,17.0
38,2021-10-22,31.0,13.0,22.0,10.0
39,2021-10-23,32.0,18.0,25.0,6.0
40,2021-10-24,33.0,19.0,20.0,11.0
41,2021-10-25,28.0,17.0,24.0,7.0
42,2021-10-26,36.0,15.0,25.0,5.0
43,2021-10-27,30.0,19.0,22.0,8.0
44,2021-10-28,41.0,17.0,26.0,8.0
45,2021-10-29,42.0,15.0,24.0,8.0
46,2021-10-30,43.0,16.0,26.0,4.0
47,2021-10-31,34.0,15.0,26.0,9.0
48,2021-11-01,35.0,19.0,9.0,21.0
49,2021-11-02,52.0,17.0,16.0,18.0
50,2021-11-03,57.0,13.0,16.0,13.0
51,2021-11-04,39.0,24.0,7.0,22.0
52,2021-11-05,67.0,18.0,23.0,7.0
53,2021-11-06,49.0,19.0,16.0,17.0
54,2021-11-07,41.0,23.0,12.0,16.0
55,2021-11-08,58.0,12.0,20.0,11.0
56,2021-11-09,37.0,11.0,19.0,14.0
57,2021-11-10,38.0,13.0,17.0,12.0
58,2021-11-11,41.0,16.0,20.0,9.0
59,2021-11-12,47.0,11.0,13.0,16.0
60,2021-11-13,27.0,14.0,13.0,9.0
61,2021-11-14,43.0,19.0,3.0,17.0
62,2021-11-15,58.0,21.0,10.0,20.0
63,2021-11-16,65.0,22.0,8.0,23.0
64,2021-11-17,52.0,19.0,13.0,16.0
65,2021-11-18,48.0,16.0,14.0,19.0
66,2021-11-19,40.0,17.0,20.0,21.0
67,2021-11-20,39.0,14.0,16.0,10.0
68,2021-11-21,30.0,18.0,16.0,15.0
69,2021-11-22,44.0,26.0,4.0,22.0
70,2021-11-23,66.0,26.0,11.0,24.0
71,2021-11-24,70.0,18.0,10.0,19.0
72,2021-11-25,50.0,13.0,19.0,19.0
73,2021-11-26,37.0,11.0,20.0,9.0
74,2021-11-27,23.0,14.0,19.0,12.0
75,2021-11-28,35.0,21.0,11.0,23.0
76,2021-11-29,60.0,13.0,26.0,13.0
77,2021-11-30,40.0,11.0,23.0,17.0
78,2021-12-01,32.0,16.0,14.0,22.0
79,2021-12-02,33.0,15.0,20.0,22.0
80,2021-12-03,45.0,17.0,16.0,23.0
81,2021-12-04,47.0,10.0,18.0,13.0
82,2021-12-05,35.0,18.0,14.0,21.0
83,2021-12-06,47.0,17.0,26.0,15.0
84,2021-12-07,38.0,18.0,26.0,3.0
85,2021-12-08,36.0,22.0,22.0,11.0
86,2021-12-09,40.0,16.0,20.0,17.0
87,2021-12-10,31.0,18.0,15.0,16.0
88,2021-12-11,49.0,14.0,22.0,5.0
89,2021-12-12,29.0,12.0,21.0,6.0
90,2021-12-13,24.0,16.0,15.0,9.0
91,2021-12-14,43.0,14.0,18.0,12.0
92,2021-12-15,42.0,15.0,19.0,13.0
93,2021-12-16,41.0,18.0,17.0,9.0
94,2021-12-17,55.0,19.0,13.0,10.0
95,2021-12-18,55.0,13.0,17.0,9.0
96,2021-12-19,46.0,17.0,21.0,9.0
97,2021-12-20,33.0,21.0,21.0,13.0
98,2021-12-21,58.0,23.0,5.0,16.0
99,2021-12-22,73.0,23.0,14.0,7.0
100,2021-12-23,69.0,17.0,17.0,9.0
101,2021-12-24,45.0,15.0,12.0,5.0
102,2021-12-25,51.0,24.0,17.0,8.0
103,2021-12-26,73.0,15.0,21.0,3.0
104,2021-12-27,43.0,9.0,27.0,12.0
105,2021-12-28,37.0,14.0,19.0,3.0
106,2021-12-29,37.0,12.0,20.0,5.0
107,2021-12-30,37.0,17.0,20.0,6.0
108,2021-12-31,43.0,22.0,18.0,6.0
109,2022-01-01,59.0,10.0,27.0,5.0
110,2022-01-02,31.0,17.0,27.0,7.0
111,2021-07-01,42.0,21.0,28.0,8.0
112,2021-07-02,53.0,13.0,23.0,5.0
113,2021-07-03,29.0,10.0,19.0,3.0
114,2021-07-04,14.0,14.0,22.0,3.0
115,2021-07-05,20.0,13.0,18.0,4.0
116,2021-07-06,23.0,16.0,20.0,3.0
117,2021-07-07,29.0,15.0,20.0,4.0
118,2021-07-08,29.0,17.0,23.0,6.0
119,2021-07-09,37.0,12.0,16.0,10.0
120,2021-07-10,33.0,13.0,23.0,6.0
121,2021-07-11,31.0,10.0,13.0,10.0
122,2021-07-12,25.0,15.0,20.0,9.0
123,2021-07-15,30.0,18.0,19.0,7.0
124,2021-07-16,36.0,13.0,21.0,6.0
125,2021-07-17,29.0,14.0,33.0,11.0
126,2021-07-18,43.0,20.0,34.0,11.0
