Middle Super Output Area,Table 1: 2013 Available Low Grade Heat;Typical Temperature;Greater London Totals (GWh);As a % of total heat demand;MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000001,City of London 001,9,254,"274,091",,765,"20,418","27,988","2,940", -   , -   ,"1,877","14,693", -   ,392, -   ,"8,572","4,599",357
E02000002,Barking and Dagenham 001,292,"8,298",,, -   ,"4,166","10,390", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,23
E02000003,Barking and Dagenham 002,535,"12,577",,, -   ,439,"4,854", -   , -   , -   ,144, -   , -   ,, -   , -   , -   ,19
E02000004,Barking and Dagenham 003,"1,540","43,843",,, -   ,455,"1,288", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,390",50
E02000005,Barking and Dagenham 004,216,"5,227",,, -   ,455,"1,013", -   ,"7,790", -   ,578, -   , -   ,, -   , -   , -   ,15
E02000006,Barking and Dagenham 005,96,"2,675",,, -   ,391,"1,091", -   , -   , -   ,289, -   , -   ,, -   , -   , -   ,5
E02000007,Barking and Dagenham 006,807,"22,184",,, -   ,347,"4,812",140, -   , -   , -   , -   , -   ,, -   , -   ,"10,255",39
E02000008,Barking and Dagenham 007,218,"6,031",,, -   ,423,"1,000", -   , -   , -   , -   , -   , -   ,, -   , -   ,"30,731",38
E02000009,Barking and Dagenham 008,48,"1,110",,, -   ,455,974, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,3
E02000010,Barking and Dagenham 009,229,"6,516",,, -   ,455,"1,288", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,400",12
E02000011,Barking and Dagenham 010,418,"11,886",,, -   ,455,818,140, -   , -   , -   , -   , -   ,, -   , -   ,"2,415",16
E02000012,Barking and Dagenham 011,230,"6,008",,, -   ,455,"1,288", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,8
E02000013,Barking and Dagenham 012,515,"13,988",,, -   ,455,"1,288", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000014,Barking and Dagenham 013,369,"9,838",,, -   ,455,"1,143", -   , -   , -   ,144, -   , -   ,, -   , -   ,"3,682",16
E02000015,Barking and Dagenham 014,803,"22,654",,, -   ,439,"1,065", -   , -   , -   , -   , -   , -   ,, -   , -   ,"2,959",28
E02000016,Barking and Dagenham 015,230,"6,544","171,979",, -   ,488,"4,221",140, -   , -   ,"4,141", -   , -   ,, -   ,"3,387", -   ,191
E02000017,Barking and Dagenham 016,170,"4,828",,, -   ,455,"1,130", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000018,Barking and Dagenham 017,369,"10,512",,, -   ,455,"1,288",140, -   , -   , -   , -   , -   ,, -   , -   ,"3,412",16
E02000019,Barking and Dagenham 018,521,"13,624",,,"3,237,696",412,"9,806",140, -   , -   ,"1,709", -   , -   ,, -   , -   ,"3,266","3,267"
E02000020,Barking and Dagenham 019,835,"23,775",,, -   ,455,"1,078", -   , -   , -   , -   , -   , -   ,, -   , -   ,"15,505",42
E02000021,Barking and Dagenham 020,410,"11,664",,, -   ,461,"1,288", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,016",17
E02000022,Barking and Dagenham 021,194,"5,526",,, -   ,450,"5,487", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,200",15
E02000023,Barking and Dagenham 022,537,"15,281",,, -   ,455,"1,288", -   , -   , -   , -   , -   , -   ,,"29,200", -   ,"2,463",49
E02000024,Barnet 001,30,120,,, -   ,"3,450","5,994",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,10
E02000025,Barnet 002,590,"15,431",,, -   ,"3,385","1,026", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,20
E02000026,Barnet 003,405,"10,868",,, -   ,"3,483","1,039", -   , -   , -   , -   ,"1,911", -   ,, -   , -   , -   ,18
E02000027,Barnet 004,589,"14,431",,, -   ,590,"5,730", -   , -   , -   , -   , -   , -   ,, -   , -   ,"13,979",35
E02000028,Barnet 005,69,"1,906",,, -   ,"3,483","4,601",140, -   , -   , -   , -   , -   ,, -   , -   , -   ,10
E02000029,Barnet 006,460,"12,176",,, -   ,510,"5,192",140, -   , -   ,289, -   , -   ,, -   , -   , -   ,19
E02000030,Barnet 007,"4,804","136,727",,, -   ,590,"5,730",280, -   , -   , -   , -   , -   ,, -   , -   ,"3,755",152
E02000031,Barnet 008,432,"9,993",,, -   ,"3,873","5,572", -   , -   , -   ,289, -   , -   ,, -   , -   ,"2,936",23
E02000032,Barnet 009,173,"4,826",,, -   ,590,"4,432", -   , -   , -   , -   , -   , -   ,, -   , -   ,"6,571",17
E02000033,Barnet 010,460,"13,084",,, -   ,"3,320","1,182",140, -   ,560, -   , -   , -   ,, -   , -   ,"9,619",28
E02000034,Barnet 011,448,"12,115",,, -   ,505,"1,195", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,14
E02000035,Barnet 012,264,"7,276",,, -   ,"4,166","11,624", -   , -   , -   ,144, -   , -   ,, -   , -   ,"6,622",30
