Middle Super Output Area,MSOA Name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000001,City of London 001,9,254,"137,046", -   ,574,"18,376","25,189","2,646", -   , -   ,"1,408","11,020", -   ,392, -   ,"15,001","4,599",217
E02000002,Barking and Dagenham 001,292,"8,298", -   , -   , -   ,"3,750","9,351", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,22
E02000003,Barking and Dagenham 002,535,"12,577", -   , -   , -   ,395,"4,369", -   , -   , -   ,108, -   , -   , -   , -   , -   , -   ,18
E02000004,Barking and Dagenham 003,"1,540","43,843", -   , -   , -   ,409,"1,159", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,390",49
E02000005,Barking and Dagenham 004,216,"5,227", -   , -   , -   ,409,912, -   ,"7,790", -   ,433, -   , -   , -   , -   , -   , -   ,15
E02000006,Barking and Dagenham 005,96,"2,675", -   , -   , -   ,352,982, -   , -   , -   ,217, -   , -   , -   , -   , -   , -   ,4
E02000007,Barking and Dagenham 006,807,"22,184", -   , -   , -   ,312,"4,331",126, -   , -   , -   , -   , -   , -   , -   , -   ,"10,255",38
E02000008,Barking and Dagenham 007,218,"6,031", -   , -   , -   ,381,900, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"30,731",38
E02000009,Barking and Dagenham 008,48,"1,110", -   , -   , -   ,409,877, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,2
E02000010,Barking and Dagenham 009,229,"6,516", -   , -   , -   ,409,"1,159", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,400",12
E02000011,Barking and Dagenham 010,418,"11,886", -   , -   , -   ,409,736,126, -   , -   , -   , -   , -   , -   , -   , -   ,"2,415",16
E02000012,Barking and Dagenham 011,230,"6,008", -   , -   , -   ,409,"1,159", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,8
E02000013,Barking and Dagenham 012,515,"13,988", -   , -   , -   ,409,"1,159", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,16
E02000014,Barking and Dagenham 013,369,"9,838", -   , -   , -   ,409,"1,029", -   , -   , -   ,108, -   , -   , -   , -   , -   ,"3,682",15
E02000015,Barking and Dagenham 014,803,"22,654", -   , -   , -   ,395,958, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"2,959",28
E02000016,Barking and Dagenham 015,230,"6,544","85,989", -   , -   ,439,"3,799",126, -   , -   ,"3,105", -   , -   , -   , -   ,"5,928", -   ,106
E02000017,Barking and Dagenham 016,170,"4,828", -   , -   , -   ,409,"1,017", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,6
E02000018,Barking and Dagenham 017,369,"10,512", -   , -   , -   ,409,"1,159",126, -   , -   , -   , -   , -   , -   , -   , -   ,"3,412",16
E02000019,Barking and Dagenham 018,521,"13,624", -   , -   ,"2,428,272",371,"8,825",126, -   , -   ,"1,282", -   , -   , -   , -   , -   ,"3,266","2,456"
E02000020,Barking and Dagenham 019,835,"23,775", -   , -   , -   ,409,970, -   , -   , -   , -   , -   , -   , -   , -   , -   ,"15,505",41
