Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh 
E02000001,City of London 001,11,382,"492,610",,934,"26,485","36,304","3,814", -   , -   ,"2,379","17,773", -   ,554, -   ,"9,863","6,657",598
E02000002,Barking and Dagenham 001,364,"12,479", -   ,, -   ,"5,404","13,477", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,32
E02000003,Barking and Dagenham 002,669,"18,913", -   ,, -   ,570,"6,296", -   , -   , -   ,183, -   , -   ,, -   , -   , -   ,27
E02000004,Barking and Dagenham 003,"1,926","65,928", -   ,, -   ,590,"1,670", -   , -   , -   , -   , -   , -   ,, -   , -   ,"3,459",74
E02000005,Barking and Dagenham 004,269,"7,860", -   ,, -   ,590,"1,314", -   ,"7,790", -   ,732, -   , -   ,, -   , -   , -   ,19
E02000006,Barking and Dagenham 005,119,"4,023", -   ,, -   ,507,"1,415", -   , -   , -   ,366, -   , -   ,, -   , -   , -   ,6
E02000007,Barking and Dagenham 006,"1,009","33,358", -   ,, -   ,450,"6,242",182, -   , -   , -   , -   , -   ,, -   , -   ,"14,842",56
E02000008,Barking and Dagenham 007,272,"9,069", -   ,, -   ,549,"1,297", -   , -   , -   , -   , -   , -   ,, -   , -   ,"44,478",56
E02000009,Barking and Dagenham 008,60,"1,668", -   ,, -   ,590,"1,263", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,4
E02000010,Barking and Dagenham 009,286,"9,799", -   ,, -   ,590,"1,670", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,921",17
E02000011,Barking and Dagenham 010,522,"17,873", -   ,, -   ,590,"1,061",182, -   , -   , -   , -   , -   ,, -   , -   ,"3,495",24
E02000012,Barking and Dagenham 011,288,"9,034", -   ,, -   ,590,"1,670", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,12
E02000013,Barking and Dagenham 012,644,"21,035", -   ,, -   ,590,"1,670", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,24
E02000014,Barking and Dagenham 013,461,"14,793", -   ,, -   ,590,"1,482", -   , -   , -   ,183, -   , -   ,, -   , -   ,"5,329",23
E02000015,Barking and Dagenham 014,"1,004","34,065", -   ,, -   ,570,"1,381", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,283",41
E02000016,Barking and Dagenham 015,287,"9,841","309,088",, -   ,633,"5,475",182, -   , -   ,"5,248", -   , -   ,, -   ,"3,898", -   ,335
E02000017,Barking and Dagenham 016,212,"7,259", -   ,, -   ,590,"1,466", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,10
E02000018,Barking and Dagenham 017,462,"15,807", -   ,, -   ,590,"1,670",182, -   , -   , -   , -   , -   ,, -   , -   ,"4,938",24
E02000019,Barking and Dagenham 018,651,"20,487", -   ,,"3,949,510",535,"12,719",182, -   , -   ,"2,166", -   , -   ,, -   , -   ,"4,728","3,991"
E02000020,Barking and Dagenham 019,"1,044","35,751", -   ,, -   ,590,"1,398", -   , -   , -   , -   , -   , -   ,, -   , -   ,"22,441",61
E02000021,Barking and Dagenham 020,512,"17,539", -   ,, -   ,598,"1,670", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,365",25
E02000022,Barking and Dagenham 021,243,"8,310", -   ,, -   ,584,"7,118", -   , -   , -   , -   , -   , -   ,, -   , -   ,"4,632",21
E02000023,Barking and Dagenham 022,671,"22,978", -   ,, -   ,590,"1,670", -   , -   , -   , -   , -   , -   ,,"33,599", -   ,"3,565",63
E02000024,Barnet 001,37,181, -   ,, -   ,"4,475","7,775",182, -   , -   ,366, -   , -   ,, -   , -   , -   ,13
E02000025,Barnet 002,737,"23,203", -   ,, -   ,"4,391","1,331", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,30
E02000026,Barnet 003,507,"16,343", -   ,, -   ,"4,518","1,348", -   , -   , -   , -   ,"2,312", -   ,, -   , -   , -   ,25
E02000027,Barnet 004,736,"21,700", -   ,, -   ,765,"7,432", -   , -   , -   , -   , -   , -   ,, -   , -   ,"20,232",51
E02000028,Barnet 005,86,"2,866", -   ,, -   ,"4,518","5,968",182, -   , -   , -   , -   , -   ,, -   , -   , -   ,14
E02000029,Barnet 006,575,"18,309", -   ,, -   ,661,"6,734",182, -   , -   ,366, -   , -   ,, -   , -   , -   ,27
E02000030,Barnet 007,"6,005","205,600", -   ,, -   ,765,"7,432",363, -   , -   , -   , -   , -   ,, -   , -   ,"5,435",226
E02000031,Barnet 008,540,"15,026", -   ,, -   ,"5,024","7,227", -   , -   , -   ,366, -   , -   ,, -   , -   ,"4,249",32
E02000032,Barnet 009,216,"7,257", -   ,, -   ,765,"5,749", -   , -   , -   , -   , -   , -   ,, -   , -   ,"9,510",23
E02000033,Barnet 010,575,"19,674", -   ,, -   ,"4,307","1,533",182, -   ,713, -   , -   , -   ,, -   , -   ,"13,922",41
E02000034,Barnet 011,560,"18,218", -   ,, -   ,654,"1,550", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,21
E02000035,Barnet 012,329,"10,941", -   ,, -   ,"5,404","15,078", -   , -   , -   ,183, -   , -   ,, -   , -   ,"9,584",42
E02000036,Barnet 013,238,"8,146", -   ,, -   ,765,"6,899", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000037,Barnet 014,751,"25,699", -   ,, -   ,765,"6,077", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,33
E02000038,Barnet 015,606,"16,391", -   ,, -   ,598,"15,920",182, -   , -   , -   , -   , -   ,, -   , -   ,"5,866",40
E02000039,Barnet 016,707,"22,575", -   ,, -   ,"4,771","6,351", -   , -   , -   ,183, -   , -   ,, -   , -   , -   ,35
E02000040,Barnet 017,"2,994","100,194", -   ,, -   ,765,"7,994", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,112
E02000041,Barnet 018,113,"2,719", -   ,, -   ,690,"15,920",182, -   , -   ,549, -   , -   ,, -   , -   , -   ,20
E02000042,Barnet 019,68,805, -   ,, -   ,"4,813","13,898",182, -   , -   ,366, -   , -   ,, -   , -   ,"5,643",26
E02000043,Barnet 020,335,"10,160", -   ,, -   ,765,"7,432",182, -   , -   , -   , -   , -   ,, -   , -   ,"17,326",36
E02000044,Barnet 021,314,"10,324", -   ,, -   ,"4,391","7,432",363, -   , -   , -   , -   , -   ,, -   , -   , -   ,23
E02000045,Barnet 022,532,"13,468", -   ,, -   ,"4,433","18,363",182, -   , -   ,"2,533", -   , -   ,, -   , -   ,"23,715",63
E02000046,Barnet 023,41,"1,397", -   ,, -   ,"5,869","12,719",182, -   , -   ,"2,166", -   , -   ,, -   , -   , -   ,22
E02000047,Barnet 024,448,"14,468", -   ,, -   ,"4,475","6,734", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,26
E02000048,Barnet 025,"1,715","57,546", -   ,, -   ,"4,222","13,140", -   , -   ,713,366, -   , -   ,, -   , -   , -   ,78
E02000049,Barnet 026,143,"4,883", -   ,, -   ,765,910, -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,7
E02000050,Barnet 027,305,"1,394", -   ,, -   ,765,"12,972",182, -   ,713, -   , -   , -   ,, -   , -   , -   ,16
E02000051,Barnet 028,45,"1,546", -   ,, -   ,"5,827","6,023", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,13
E02000052,Barnet 029,50,"1,456", -   ,, -   ,"4,813","6,953", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,13
E02000053,Barnet 030,439,"13,664", -   ,, -   ,619,"7,446", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,22
E02000054,Barnet 031,458,"15,187", -   ,, -   ,"4,475","5,639", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,26
E02000055,Barnet 032,38,"1,303", -   ,, -   ,"4,602","5,858",363, -   , -   ,732, -   , -   ,, -   , -   , -   ,13
E02000056,Barnet 033,269,"8,133", -   ,, -   ,765,"7,775", -   , -   ,713, -   , -   , -   ,, -   , -   , -   ,18
E02000057,Barnet 034,227,"7,765", -   ,, -   ,765,"5,475",363, -   , -   , -   , -   , -   ,, -   , -   , -   ,15
E02000058,Barnet 035,41,613, -   ,, -   ,"5,447","13,730", -   , -   ,713,366, -   , -   ,, -   , -   , -   ,21
E02000059,Barnet 036,932,"28,859", -   ,, -   ,"4,264","7,337", -   , -   , -   ,183, -   , -   ,, -   , -   ,"5,793",47
E02000060,Barnet 037,102,"3,446", -   ,, -   ,"8,501","6,023", -   , -   , -   ,183, -   , -   ,, -   , -   , -   ,18
E02000061,Barnet 038,75,"2,074", -   ,, -   ,"5,320","14,825",182, -   , -   ,183, -   , -   ,, -   , -   , -   ,23
E02000062,Barnet 039,452,"14,499", -   ,, -   ,765,"28,808",182, -   , -   ,"2,533", -   , -   ,, -   , -   ,"21,626",69
E02000063,Barnet 040,401,"10,398", -   ,, -   ,605,"7,432", -   , -   , -   , -   , -   , -   ,, -   , -   , -   ,19
E02000064,Barnet 041,255,"8,713", -   ,, -   ,570,"5,858",182, -   , -   , -   , -   , -   ,, -   , -   , -   ,16
E02000065,Bexley 001,"2,310","79,093", -   ,"263,447", -   ,556,"5,580", -   , -   , -   , -   , -   ,"2,523,513",, -   , -   ,"8,963","2,883"
E02000066,Bexley 002,459,"15,547", -   ,, -   ,604,"5,580", -   , -   , -   , -   , -   , -   ,, -   , -   ,"9,950",32
