Middle Super Output Area,MSOA name, Open Loop Ground Source Abstraction, Closed Loop Ground Source Abstraction, Air Source Heat Pumps, Rivers (10% Abstraction), Power Stations,Building Heat Rejection;Office,Building Heat Rejection;Retail,Building Heat Rejection;Gyms, Industrial Sources;Part A Processes, Industrial Sources;Part B Processes,Commercial Building Sources - Non HVAC;Supermarkets,Commercial Building Sources - Non HVAC;Data Centres, Wastewater (Treatment Plants);, Tubre rejected, National Grid Infrastructure, UKPN Infrastructure, Sewer heat mining;Various, TOTAL;GWh ,
E02000001,City of London 001,11,382,"246,305", -   ,700,"23,836","32,674","3,432", -   , -   ,"1,785","13,330", -   ,554, -   ,"17,261","6,657",347,
E02000002,Barking and Dagenham 001,364,"12,479", -   , -   , -   ,"4,864","12,130", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,30,
E02000003,Barking and Dagenham 002,669,"18,913", -   , -   , -   ,513,"5,667", -   , -   , -   ,137, -   , -   , -   , -   , -   , -   ,26,
E02000004,Barking and Dagenham 003,"1,926","65,928", -   , -   , -   ,531,"1,503", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"3,459",73,
E02000005,Barking and Dagenham 004,269,"7,860", -   , -   , -   ,531,"1,183", -   ,"7,790", -   ,549, -   , -   , -   , -   , -   , -   ,18,
E02000006,Barking and Dagenham 005,119,"4,023", -   , -   , -   ,456,"1,274", -   , -   , -   ,275, -   , -   , -   , -   , -   , -   ,6,
E02000007,Barking and Dagenham 006,"1,009","33,358", -   , -   , -   ,405,"5,617",163, -   , -   , -   , -   , -   , -   , -   , -   ,"14,842",55,
E02000008,Barking and Dagenham 007,272,"9,069", -   , -   , -   ,494,"1,167", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"44,478",55,
E02000009,Barking and Dagenham 008,60,"1,668", -   , -   , -   ,531,"1,137", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,3,
E02000010,Barking and Dagenham 009,286,"9,799", -   , -   , -   ,531,"1,503", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"4,921",17,
