,0
0,restaurant
1,recommended
2,us
3,hotel
4,atmosphere
5,lively
6,busy
7,food
8,excellent
9,wait
10,table
11,glad
12,food
13,really
14,good
15,mixture
16,locals
17,tourists
18,went
19,last
20,night
21,night
22,trip
23,barcelona
24,disappointed
25,arrived
26,hotel
27,recommended
28,restaurant
29,fabulous
30,great
31,tapas
32,reasonable
33,price
34,twice
35,fantastic
36,meal
37,cervecería
38,catalana
39,food
40,excellent
41,service
42,good
43,really
44,cool
45,atmosphere
46,great
47,selection
48,tapas
49,reasonably
50,seen
51,reviews
52,online
53,friend
54,recommendation
55,try
56,glad
57,garlic
58,excellent
59,place
60,high
61,quality
62,small
63,dishes
64,wide
65,offer
66,always
67,full
68,need
69,found
70,restaurant
71,chance
72,loved
73,good
74,place
75,quality
76,food
77,good
78,treatment
79,cerveceria
80,catalana
81,simply
82,stars
83,category
84,tapas
85,outstanding
86,service
87,outstanding
88,great
89,classic
90,tapas
91,almost
92,dished
93,ordered
94,amazing
95,food
96,comes
97,quickly
98,best
99,order
100,food
101,cerveceria
102,catalana
103,delicious
104,prices
105,great
106,friend
107,ordered
108,lot
109,enjoyed
110,tapas
111,restaurant
112,everything
113,good
114,especially
115,garlic
116,prawns
117,went
118,back
119,first
120,discovered
121,place
122,first
123,visit
124,ate
125,x
126,hotel
127,recommended
128,place
129,tapas
130,tripadvisor
131,search
132,reservations
133,waiting
134,list
135,know
136,restaurant
137,since
138,attended
139,many
140,times
141,business
142,barcelona
143,quality
144,absolute
145,high
146,quality
147,restaurant
148,best
149,tapas
150,ever
151,eat
152,fresh
153,made
154,desserts
155,super
156,amazing
157,place
158,quiet
159,quick
160,serve
161,amazing
162,tapas
163,taste
164,super
165,friendly
166,staff
167,ready
168,help
169,queries
170,liked
171,lunch
172,sure
173,getting
174,everyone
175,nice
176,service
177,food
178,went
179,recommendation
180,several
181,sites
182,opinions
183,great
184,place
185,tourists
186,huge
187,variety
188,really
189,long
190,wait
191,people
192,clearly
193,happy
194,working
195,disorganized
196,look
197,lost
198,desperate
199,visited
200,restaurant
201,twice
202,five
203,day
204,vacation
205,barcelona
206,absolutely
207,best
208,tapas
209,restaurant
210,two
211,hours
212,waiting
213,half
214,menu
215,unavailable
216,bottles
217,wine
218,drank
219,outside
220,tapas
221,amazing
222,waiter
223,helpful
224,suggesting
225,top
226,recommendations
227,many
228,order
229,variety
230,dishes
231,dizzying
232,amazing
233,servers
234,quick
235,expect
236,much
237,english
238,always
239,place
240,especially
241,breakfast
242,barcelona
243,never
244,disappointed
245,tasty
246,food
247,great
248,time
249,visited
250,come
251,back
252,next
253,day
254,eat
255,unfirendly
256,stuff
257,big
258,table
259,made
260,us
261,leave
262,someone
263,else
264,coming
265,loved
266,experience
267,food
268,fantastic
269,great
270,quality
271,freshly
272,cooked
273,quickly
274,served
275,second
276,visit
277,one
278,week
279,restaurant
280,always
281,queue
282,long
283,wait
284,used
285,favorite
286,restaurant
287,barcelona
288,couple
289,years
290,since
291,last
292,visit
