,index,0
0,growing,509
1,company,1854
2,located,118
3,atlanta,44
4,area,257
5,currently,237
6,looking,1070
7,data,17037
8,scientist,1753
9,their,1522
10,team,4348
11,will,5109
12,analyze,620
13,business,4361
14,level,654
15,produce,162
16,actionable,377
17,insights,1300
18,utilizing,121
19,analytics,2636
20,tools,1620
21,languages,652
22,python,1877
23,serve,246
24,organization,559
25,leader,310
26,helping,293
27,grow,313
28,science,3862
29,initiative,94
30,from,2798
31,green,24
32,state,517
33,also,732
34,responsible,666
35,advancement,31
36,analytical,1140
37,projects,1293
38,inception,17
39,delivery,335
40,beyond,115
41,responsiblities,1
42,leverage,320
43,discover,184
44,patterns,192
45,solve,628
46,strategic,403
47,tactical,39
48,problems,1513
49,using,1785
50,massive,143
51,structured,300
52,unstructured,277
53,sets,852
54,across,1214
55,multiple,535
56,environments,235
57,develop,1744
58,capabilities,373
59,modeling,1384
60,processes,557
61,that,4439
62,drive,997
63,better,447
64,outcomes,238
65,both,730
66,customers,1232
67,collection,224
68,cleansing,54
69,processing,1040
70,analysis,2787
71,existing,302
72,sources,587
73,research,2421
74,industry,1107
75,topics,90
76,impacting,26
77,opportunities,733
78,relevant,712
79,execute,208
80,complex,1145
81,analyses,464
82,reporting,348
83,interpretation,39
84,findings,311
85,build,1654
86,comprehensive,240
87,solution,292
88,demonstrates,94
89,good,391
90,judgment,56
91,skills,2837
92,conduct,228
93,option,29
94,present,291
95,recommendations,431
96,support,1263
97,resolve,77
98,issues,263
99,related,1486
100,deliverable,3
101,production,614
102,works,170
103,with,13735
104,internal,597
105,external,437
106,clients,824
107,understand,681
108,clarify,8
109,requirements,1223
110,potential,187
111,impactful,114
112,solutions,2123
113,mapping,34
114,advanced,1391
115,product,2066
116,enhancement,29
117,degree,1429
118,computer,1738
119,economics,308
120,masters,175
121,preferred,1072
122,years,2376
123,predictive,826
124,statistical,2027
125,machine,5015
126,learning,6058
127,plus,772
128,expect,65
129,understanding,1166
130,language,1119
131,experienced,256
132,requirement,68
133,definition,29
134,proven,380
135,recent,45
136,experience,9023
137,working,2064
138,sales,422
139,marketing,917
140,supply,170
141,chain,152
142,manufacturing,66
143,able,539
144,navigate,28
145,access,351
146,hadoop,616
147,oracle,81
148,identify,718
149,otherwise,43
150,hidden,51
151,trends,314
152,impact,966
153,development,2106
154,exposure,113
155,visualization,537
156,tableau,262
157,qliksense,2
158,must,728
159,oriented,313
160,focused,368
161,innovation,481
162,familiar,106
163,scripting,292
164,perl,111
165,programming,1052
166,java,665
167,express,19
168,interest,231
169,this,2457
170,position,892
171,please,649
172,email,114
173,resume,107
174,word,65
175,format,43
176,attach,3
177,cover,93
178,letter,76
179,salary,196
180,contact,112
181,information,1448
182,sure,51
183,reference,36
184,sponsorship,123
185,available,254
186,location,310
187,type,202
188,permanent,21
189,doedepartment,1
190,program,390
191,operationsposition,1
192,locations,133
193,accountability,24
194,president,3
195,operationsfor,1
196,operation,58
197,hope,17
198,been,216
199,dedicated,170
200,empowering,46
201,underserved,6
202,communities,153
203,through,1139
204,financial,535
205,literacy,8
206,work,4597
207,encompasses,8
208,more,1540
209,than,440
210,education,379
211,about,1377
212,instilling,2
213,knowledge,1600
214,confidence,47
215,those,256
216,they,743
217,sometimes,36
218,first,267
219,time,1315
220,lives,213
221,dignity,6
222,summarythe,1
223,analyst,270
224,collects,9
225,organizes,4
226,mines,2
227,analyzes,36
228,audits,6
229,large,1589
230,operational,302
231,optimization,678
232,participates,39
233,member,311
234,maintaining,142
235,integrity,161
236,client,696
237,database,356
238,provides,293
239,executable,2
240,migration,13
241,best,1051
242,practices,469
243,field,1238
244,operations,790
245,based,954
246,duties,164
247,responsibilitiesinitiate,1
248,participate,220
249,mining,735
250,reportingaudit,1
251,profile,59
252,assess,114
253,poor,13
254,quality,803
255,performance,900
256,impacts,36
257,testing,513
258,different,327
259,hypotheses,106
260,directly,252
261,indirectly,4
262,indicators,32
263,create,755
264,executive,86
265,dashboards,137
266,import,3
267,collect,112
268,clean,93
269,convert,20
270,purpose,123
271,find,336
272,making,538
273,conclusions,63
274,design,1630
275,relational,205
276,databases,406
277,collecting,47
278,monitor,120
279,systems,1633
280,there,173
281,then,158
282,respond,39
283,same,62
284,keep,122
285,track,405
286,correlation,12
287,case,64
288,prepare,100
289,concise,59
290,reports,398
291,visualizations,124
292,management,1309
293,help,1597
294,decision,594
295,process,603
296,assist,184
297,methods,972
298,when,289
299,required,1039
300,educationbachelor,1
301,degreetwo,1
302,fieldable,1
303,various,544
304,structures,199
305,common,136
306,transformationexperience,4
307,basic,332
308,reportingexperience,1
309,concepts,360
310,dimensional,40
311,designproficient,2
312,stata,48
313,sasexperience,1
314,caseworthy,1
315,tableaueeostatementoperation,1
316,equal,954
317,opportunity,1618
318,employer,799
319,qualified,567
320,applicants,695
321,receive,218
322,consideration,202
323,employment,908
324,without,520
325,regard,355
326,race,602
327,color,597
328,religion,579
329,national,690
330,origin,584
331,protected,520
332,veteran,704
333,status,1503
334,disability,905
335,sexual,689
336,orientation,643
337,gender,930
338,identity,647
339,expression,278
340,marital,405
341,genetic,257
342,other,2183
343,characteristic,112
344,full,588
345,timesalary,30
346,yearexperience,21
347,yearsbasic,1
348,yearsprogramming,2
349,yearssql,4
350,yearscaseworthy,1
351,yeareducation,11
352,bachelor,380
353,slocation,16
354,gadescription,1
355,emory,8
356,university,167
357,department,196
358,biomedical,59
359,informatics,67
360,recruiting,111
361,tenure,3
362,faculty,24
363,positions,86
364,possibility,10
365,joint,16
366,appointments,17
367,departments,53
368,including,1649
369,radiology,6
370,imaging,49
371,sciences,178
372,georgia,9
373,institute,30
374,technology,1583
375,wallace,2
376,coulter,2
377,engineering,2016
378,highly,684
379,dynamic,252
380,multidisciplinary,30
381,environment,1419
382,strengths,39
383,clinical,309
384,bioinformatics,109
385,signal,108
386,mhealth,3
387,group,542
388,fosters,18
389,collaborative,372
390,between,164
391,software,1876
392,researchers,135
393,scientific,389
394,groups,139
395,clinicians,25
396,healthcare,416
397,closely,502
398,aligned,30
399,math,275
400,services,1140
401,many,201
402,members,406
403,hold,33
404,successful,357
405,candidate,586
406,provide,963
407,leadership,520
408,planning,232
409,implementing,247
410,future,477
411,well,950
412,multi,240
413,disciplinary,58
414,areas,525
415,interests,56
416,school,46
417,medicine,68
418,enable,279
419,comparative,3
420,integration,188
421,enormous,20
422,studies,84
423,interface,59
424,infrastructure,438
425,efforts,249
426,supporting,165
427,translational,15
428,http,130
429,atlantactsi,1
430,initiatives,299
431,these,481
432,technologies,1098
433,expected,134
434,outstanding,87
435,foundation,104
436,locally,6
437,nationally,10
438,publish,54
439,peer,47
440,reviewed,34
441,conferences,140
442,journals,46
443,lead,703
444,proposals,60
445,engage,123
446,service,507
447,committees,6
448,additional,259
449,details,88
450,candidates,352
451,submit,75
452,detailing,4
453,your,2428
454,plans,251
455,list,80
456,most,704
457,publications,115
458,three,124
459,five,82
460,references,10
461,have,2873
462,publication,54
463,record,391
464,leading,727
465,demonstrated,485
466,obtain,57
467,extramural,1
468,funding,49
469,should,373
470,several,116
471,following,534
472,warehousing,79
473,scale,1001
474,searches,6
475,cloud,840
476,computing,432
477,image,125
478,inference,118
479,natural,622
480,ontology,5
481,intended,13
482,discovery,131
483,high,1099
484,throughput,30
485,techniques,1553
486,extraction,148
487,codification,1
488,contained,4
489,biological,77
490,text,210
491,desirable,80
492,familiarity,396
493,hipaa,13
494,regulation,14
495,privacy,47
496,projection,1
497,necessary,137
498,ability,2268
499,teach,95
500,courses,42
501,important,190
502,brqualifications,1
503,architecture,332
504,professional,518
505,overseeing,9
506,stream,29
507,deployments,15
508,expertise,795
509,handling,59
510,amounts,151
511,such,1775
512,server,79
513,postgres,31
514,exasol,1
515,alteryx,6
516,ecosystem,128
517,azure,145
518,exceptional,191
519,quantitative,1058
520,problem,654
521,solving,632
522,adept,29
523,communicating,159
524,managing,239
525,stakeholders,494
526,change,255
527,collaboratively,76
528,continuous,133
529,mentoring,104
530,junior,175
531,entrepreneurial,147
532,spirit,87
533,desire,156
534,fast,660
535,paced,392
536,start,181
537,consistently,46
538,deliver,627
539,results,950
540,demanding,27
541,timelines,30
542,travel,278
543,jersey,14
544,waltham,10
